,word,complex_percentage,length,frequency,aoa,Familiarity,Concreteness
2900,landscapes,50.0,10,3.72,,0.0,0.0
2901,lane,5.0,4,4.57,7.0,525.0,537.0
2902,language,5.0,8,5.1,6.79,0.0,0.0
2904,laps,20.0,4,3.66,,0.0,0.0
2905,large,6.666666666666667,5,5.39,5.74,634.0,0.0
2906,larger,0.0,6,4.82,,0.0,0.0
2907,larva,10.0,5,2.99,8.83,0.0,0.0
2909,laser,10.0,5,4.2,8.67,0.0,0.0
2910,last,0.0,4,5.86,,587.0,299.0
2913,lasted,13.333333333333334,6,4.09,,0.0,0.0
2914,late,12.5,4,5.34,5.28,584.0,262.0
2915,later,10.0,5,5.49,,0.0,0.0
2917,latter,30.0,6,4.56,,444.0,280.0
2920,launch,24.0,6,4.69,7.92,0.0,0.0
2921,launched,16.666666666666668,8,4.63,,0.0,0.0
2922,launches,18.181818181818183,8,3.89,,0.0,0.0
2923,launching,0.0,9,3.99,,0.0,0.0
2925,law,12.5,3,5.46,8.33,562.0,349.0
2926,lawn,30.0,4,3.98,5.45,534.0,588.0
2927,laws,5.0,4,4.89,,0.0,0.0
2928,lawsuit,100.0,7,4.09,10.56,0.0,0.0
2929,lawsuits,30.0,8,3.63,,,
2930,lawyers,0.0,7,4.39,,0.0,0.0
2933,lead,16.0,4,5.2,6.76,526.0,543.0
2934,leader,0.0,6,4.95,6.9,559.0,487.0
2935,leaders,5.0,7,4.81,,0.0,0.0
2936,leadership,10.0,10,4.77,8.74,0.0,0.0
2937,leading,9.285714285714286,7,5.0,,0.0,0.0
2938,leads,10.0,5,4.65,,0.0,0.0
2939,leaf,7.5,4,4.22,4.6,556.0,593.0
2940,leafs,6.666666666666667,5,3.56,,0.0,0.0
2941,league,8.571428571428571,6,5.13,8.45,0.0,0.0
2942,leaking,20.0,7,3.7,,0.0,0.0
2943,leaks,10.0,5,3.88,,0.0,0.0
2944,leapt,25.0,5,3.05,,0.0,0.0
2945,leather,10.0,7,4.35,7.25,571.0,575.0
2950,led,15.0,3,5.11,,526.0,370.0
2951,lee,10.0,3,4.73,,0.0,0.0
2952,left,10.0,4,5.62,,592.0,341.0
2953,legacy,28.0,6,4.37,9.63,0.0,0.0
2954,legal,15.714285714285714,5,5.08,9.17,0.0,0.0
2957,legendary,35.0,9,4.23,9.89,466.0,272.0
2958,legislation,22.0,11,4.55,10.94,466.0,397.0
2959,legislative,25.0,11,4.32,11.21,0.0,0.0
2963,lender,23.333333333333332,6,3.64,9.5,0.0,0.0
2964,lenders,35.714285714285715,7,3.67,,0.0,0.0
2965,lending,18.0,7,3.87,,0.0,0.0
2966,length,0.0,6,4.77,6.05,591.0,365.0
2967,lengthy,10.0,7,3.85,9.11,0.0,0.0
2969,less,0.0,4,5.49,,541.0,266.0
2970,lesser,10.0,6,4.13,,0.0,0.0
2973,level,7.5,5,5.41,6.0,504.0,422.0
2974,levels,6.666666666666667,6,4.97,,0.0,0.0
2976,liable,40.0,6,3.89,11.11,0.0,0.0
2977,liberal,15.0,7,4.66,11.17,0.0,0.0
2978,liberalize,45.0,10,2.15,,0.0,0.0
2981,license,10.0,7,4.52,,0.0,0.0
2982,lies,15.0,4,4.73,,0.0,0.0
2983,lieutenant,12.5,10,4.44,9.5,436.0,560.0
2985,life,35.0,4,5.89,5.89,598.0,361.0
2987,lifted,30.0,6,4.1,,0.0,0.0
2988,lifting,10.0,7,4.06,,0.0,0.0
2990,ligate,26.666666666666668,6,1.36,,0.0,0.0
2991,light,4.0,5,5.33,4.05,575.0,550.0
2992,lightest,20.0,8,2.95,,0.0,0.0
2993,lighting,10.0,8,4.29,7.48,0.0,0.0
2994,lightning,23.333333333333332,9,4.22,4.76,465.0,525.0
2995,like,20.0,4,6.41,,610.0,286.0
2996,likewise,40.0,8,4.04,,0.0,0.0
2997,limbo,60.0,5,3.31,9.21,0.0,0.0
2998,limit,0.0,5,4.7,6.3,0.0,0.0
2999,limited,10.0,7,5.02,,511.0,0.0
3000,limits,10.0,6,4.47,,0.0,0.0
3002,line,2.5,4,5.49,4.85,591.0,477.0
3004,lines,20.0,5,4.95,,0.0,0.0
3005,linguistic,35.0,10,3.71,15.0,0.0,0.0
3006,lion,0.0,4,4.25,4.42,511.0,627.0
3007,lips,15.0,4,4.35,,0.0,0.0
3008,liquid,0.0,6,4.39,5.83,578.0,555.0
3009,liquidation,100.0,11,3.26,10.69,0.0,0.0
3010,liquors,0.0,7,2.6,,0.0,0.0
3011,listed,10.0,6,4.69,,0.0,0.0
3012,listening,10.0,9,4.66,,0.0,0.0
3013,literally,10.0,9,4.91,,0.0,0.0
3014,literature,12.0,10,4.62,9.9,529.0,462.0
3015,lithium,8.571428571428571,7,3.56,13.9,0.0,0.0
3016,lithographed,75.0,12,1.79,,0.0,0.0
3019,little,5.0,6,5.75,3.95,594.0,378.0
3020,livable,0.0,7,2.8,8.25,0.0,0.0
3021,live,5.0,4,5.54,6.1,608.0,436.0
3023,lives,0.0,5,5.14,,0.0,0.0
3024,livestock,90.0,9,3.83,7.89,0.0,0.0
3025,loan,10.0,4,4.68,9.57,535.0,372.0
3026,loans,8.214285714285714,5,4.51,,0.0,0.0
3027,lobe,10.0,4,3.3,10.17,0.0,0.0
3028,local,7.777777777777778,5,5.43,8.79,0.0,0.0
3029,locate,0.0,6,3.94,7.95,0.0,0.0
3030,located,16.666666666666668,7,4.86,,0.0,0.0
3031,location,21.666666666666668,8,4.86,6.86,0.0,0.0
3034,logarithm,100.0,9,2.52,14.33,0.0,0.0
3036,logging,45.0,7,3.76,,0.0,0.0
3037,logs,10.0,4,3.81,,0.0,0.0
3038,lone,11.666666666666666,4,3.91,8.5,464.0,325.0
3039,long,13.333333333333334,4,5.81,,579.0,381.0
3045,look,10.0,4,5.81,4.05,607.0,376.0
3046,looting,43.333333333333336,7,3.46,,0.0,0.0
3047,lorries,20.0,7,2.84,,0.0,0.0
3048,lorry,13.333333333333334,5,3.21,13.56,198.0,420.0
3049,loss,5.0,4,5.07,5.0,558.0,313.0
3050,losses,10.0,6,4.45,,0.0,0.0
3052,loudspeaker,40.0,11,2.95,10.0,,
3053,loudspeakers,12.5,12,2.79,,,
3054,love,5.0,4,5.82,5.17,619.0,311.0
3055,low,10.0,3,5.33,4.7,580.0,322.0
3058,lower,0.0,5,5.11,,0.0,0.0
3062,loyal,10.0,5,4.2,9.11,0.0,0.0
3063,loyalist,15.0,8,3.03,12.61,0.0,0.0
3066,lull,20.0,4,3.08,10.61,0.0,0.0
3068,luminosity,50.0,10,2.9,11.21,0.0,0.0
3070,lured,80.0,5,3.26,,0.0,0.0
3071,lush,35.0,4,3.55,11.28,0.0,0.0
3073,luxurious,30.0,9,3.55,10.0,0.0,0.0
3074,lying,10.0,5,4.67,,0.0,0.0
3080,mad,20.0,3,4.74,3.55,590.0,308.0
3081,made,5.0,4,5.92,,579.0,327.0
3082,madness,3.3333333333333335,7,3.97,9.42,473.0,289.0
3085,magazine,20.0,8,4.74,5.89,585.0,588.0
3087,magistrates,3.3333333333333335,11,3.53,,0.0,0.0
3088,magnesium,20.0,9,3.49,11.72,372.0,547.0
3089,magnificent,30.0,11,4.04,8.63,0.0,0.0
3091,maimed,40.0,6,2.81,,0.0,0.0
3092,main,5.0,4,5.24,6.55,574.0,324.0
3093,mainland,40.0,8,3.95,11.63,0.0,0.0
3094,mainstream,80.0,10,4.26,13.28,0.0,0.0
3095,maintained,20.0,10,4.38,,0.0,0.0
3096,maintaining,10.0,11,4.25,,0.0,0.0
3097,maintains,10.0,9,3.96,,0.0,0.0
3098,major,7.0,5,5.3,8.8,558.0,0.0
3099,majority,6.363636363636363,8,4.94,8.94,546.0,338.0
3100,make,10.0,4,6.08,4.68,618.0,299.0
3101,makers,5.0,6,4.16,,0.0,0.0
3102,makeshift,80.0,9,3.18,13.0,0.0,0.0
3104,malaria,0.0,7,3.65,12.33,356.0,506.0
3109,male,10.0,4,4.89,5.63,588.0,564.0
3110,man,3.3333333333333335,3,5.82,3.11,623.0,618.0
3111,management,7.916666666666667,10,5.13,10.05,518.0,381.0
3114,mandate,25.0,7,3.97,12.95,0.0,0.0
3115,mandated,100.0,8,3.56,,0.0,0.0
3116,mangled,60.0,7,2.94,,0.0,0.0
3117,manhunt,90.0,7,3.03,9.58,,
3120,manned,30.0,6,3.47,12.28,0.0,0.0
3121,manning,10.0,7,3.86,,0.0,0.0
3123,manpower,30.0,8,3.46,9.11,0.0,0.0
3124,mans,0.0,4,3.68,,0.0,0.0
3125,manslaughter,70.0,12,3.38,12.28,0.0,0.0
3126,manufacture,0.0,11,3.98,10.59,0.0,0.0
3127,manufacturer,3.3333333333333335,12,4.21,10.79,480.0,467.0
3128,manufacturers,5.0,13,4.35,,0.0,0.0
3129,manuscript,36.666666666666664,10,3.92,12.12,0.0,0.0
3130,maple,6.666666666666667,5,3.86,5.94,518.0,534.0
3132,margin,25.0,6,4.27,10.11,499.0,472.0
3133,marine,3.3333333333333335,6,4.53,9.8,0.0,0.0
3135,maritime,12.5,8,3.96,11.47,0.0,0.0
3136,mark,10.0,4,5.05,,533.0,464.0
3137,marked,5.0,6,4.5,,0.0,0.0
3138,market,8.571428571428571,6,5.29,7.16,518.0,551.0
3140,marketed,60.0,8,3.64,,0.0,0.0
3141,markets,20.0,7,4.61,,0.0,0.0
3142,marred,61.25,6,3.09,,0.0,0.0
3143,marriage,0.0,8,4.91,7.17,559.0,398.0
3144,martyrs,70.0,7,3.4,,0.0,0.0
3147,marvels,50.0,7,2.87,,0.0,0.0
3151,mask,10.0,4,4.31,4.8,0.0,0.0
3152,mass,5.0,4,4.87,9.17,473.0,397.0
3153,massacre,50.0,8,3.91,10.05,0.0,0.0
3154,masses,4.0,6,3.94,9.42,0.0,0.0
3155,massive,7.5,7,4.72,9.11,0.0,0.0
3156,mastermind,70.0,10,3.36,10.5,0.0,0.0
3157,masterpiece,100.0,11,3.81,9.56,0.0,0.0
3158,mate,12.5,4,4.55,8.67,553.0,507.0
3159,material,0.0,8,4.95,8.06,559.0,539.0
3161,mating,25.0,6,3.5,9.83,0.0,0.0
3163,matrix,5.0,6,4.07,14.42,0.0,0.0
3167,maximum,0.0,7,4.6,7.6,0.0,0.0
3170,meadows,10.0,7,3.6,,0.0,0.0
3171,mean,7.5,4,5.53,4.0,539.0,313.0
3172,meaning,0.0,7,4.87,6.1,0.0,0.0
3173,meant,10.0,5,4.94,,499.0,226.0
3174,meanwhile,10.0,9,4.48,,0.0,0.0
3175,measure,15.0,7,4.65,7.53,555.0,366.0
3176,measured,15.0,8,4.25,,0.0,0.0
3177,measures,12.727272727272728,8,4.67,,0.0,0.0
3178,measuring,35.0,9,4.07,,0.0,0.0
3180,mechanism,20.0,9,4.27,10.61,0.0,0.0
3184,medal,0.0,5,4.39,6.83,494.0,571.0
3185,meddling,65.0,8,3.3,,0.0,0.0
3186,media,5.714285714285714,5,5.3,,0.0,0.0
3187,medical,3.3333333333333335,7,5.16,8.68,0.0,0.0
3188,medicate,50.0,8,2.48,10.53,0.0,0.0
3189,medicine,2.0,8,4.73,4.89,547.0,517.0
3190,medieval,30.0,8,4.05,9.67,0.0,0.0
3191,meet,0.0,4,5.27,4.74,575.0,341.0
3192,meeting,8.75,7,5.15,5.72,575.0,403.0
3193,meetings,26.666666666666668,8,4.48,,0.0,0.0
3196,member,5.0,6,5.18,8.2,573.0,455.0
3197,members,5.0,7,5.35,,0.0,0.0
3198,membership,10.0,10,4.47,7.78,0.0,0.0
3199,membranous,23.333333333333332,10,2.19,13.0,0.0,0.0
3200,memorial,13.333333333333334,8,4.41,8.32,0.0,0.0
3201,memories,10.0,8,4.5,,0.0,0.0
3202,memory,10.0,6,4.81,6.4,573.0,284.0
3203,men,10.0,3,5.51,,621.0,586.0
3204,mentioned,10.0,9,4.83,,0.0,0.0
3205,mercuric,20.0,8,1.72,12.9,0.0,0.0
3206,merger,60.0,6,3.97,13.1,0.0,0.0
3207,merging,80.0,7,3.45,,0.0,0.0
3208,message,7.272727272727272,7,5.0,6.32,557.0,459.0
3209,messages,10.0,8,4.54,,0.0,0.0
3213,metals,0.0,6,3.95,,0.0,0.0
3214,metalworking,20.0,12,2.54,11.39,,
3215,methane,10.0,7,3.54,13.21,0.0,0.0
3216,methods,0.0,7,4.68,,0.0,0.0
3219,metropolitan,5.555555555555555,12,4.18,11.59,0.0,0.0
3221,mi,0.0,2,4.3,,0.0,0.0
3222,mice,12.0,4,4.09,,0.0,0.0
3227,middle,10.0,6,5.18,,0.0,0.0
3229,midnight,10.0,8,4.31,6.21,569.0,396.0
3230,midst,30.0,5,3.89,10.89,0.0,0.0
3231,midsummer,20.0,9,3.11,8.94,0.0,0.0
3232,might,0.0,5,5.66,,533.0,271.0
3233,migrants,40.0,8,3.9,,0.0,0.0
3234,migrated,60.0,8,3.31,,0.0,0.0
3237,miles,23.333333333333332,5,5.0,,0.0,0.0
3238,milestone,16.666666666666668,9,3.71,11.62,0.0,0.0
3239,militants,15.294117647058824,9,3.56,,0.0,0.0
3241,militarily,20.0,10,3.0,,,
3242,militarized,13.333333333333334,11,2.68,,,
3243,military,6.0,8,5.2,8.2,458.0,417.0
3244,militia,10.0,7,3.88,12.0,0.0,0.0
3245,millennium,15.0,10,3.7,10.78,0.0,0.0
3246,million,5.0,7,5.33,6.47,519.0,364.0
3247,millions,0.0,8,4.64,,0.0,0.0
3249,minatory,20.0,8,1.06,13.33,0.0,0.0
3250,minimal,5.0,7,4.11,11.33,0.0,0.0
3251,minister,1.5,8,5.04,7.42,500.0,563.0
3252,ministerial,5.0,11,3.55,12.81,0.0,0.0
3253,ministers,0.0,9,4.34,,0.0,0.0
3254,ministry,3.4482758620689653,8,4.63,9.61,0.0,0.0
3256,minority,0.0,8,4.41,9.83,0.0,0.0
3257,minors,25.0,6,3.69,,0.0,0.0
3258,minutes,0.0,7,5.31,,0.0,0.0
3259,mire,20.0,4,2.74,13.94,0.0,0.0
3260,mires,10.0,5,1.8,,0.0,0.0
3261,misconduct,65.0,10,3.66,9.22,0.0,0.0
3262,misdemeanor,55.0,11,3.38,14.21,,
3263,missile,3.3333333333333335,7,4.14,7.22,504.0,597.0
3264,missiles,0.0,8,3.95,,0.0,0.0
3265,missing,10.0,7,5.05,,0.0,0.0
3266,mission,12.352941176470589,7,4.87,9.95,0.0,0.0
3267,missionary,25.0,10,3.83,9.78,0.0,0.0
3268,missions,5.0,8,4.2,,0.0,0.0
3269,mistook,60.0,7,3.07,,0.0,0.0
3270,mistreated,90.0,10,3.05,,,
3272,mixed,5.0,5,4.64,,0.0,0.0
3275,mob,50.0,3,4.03,9.67,0.0,0.0
3276,mobile,30.0,6,4.85,8.72,0.0,0.0
3277,mobility,8.0,8,4.05,10.94,0.0,0.0
3278,model,5.0,5,5.13,5.83,0.0,0.0
3279,modern,10.0,6,5.07,8.58,579.0,0.0
3281,modified,30.0,8,4.24,,0.0,0.0
3282,modular,40.0,7,3.51,13.17,0.0,0.0
3283,module,3.3333333333333335,6,3.89,13.42,0.0,0.0
3286,moiety,20.0,6,2.59,,0.0,0.0
3287,molars,36.666666666666664,6,2.72,,0.0,0.0
3288,molecular,10.0,9,4.11,11.84,0.0,0.0
3289,molecule,15.0,8,3.67,12.0,464.0,453.0
3290,molecules,50.0,9,3.92,,0.0,0.0
3291,moment,10.0,6,5.24,7.95,560.0,301.0
3292,moments,13.333333333333334,7,4.62,,0.0,0.0
3294,monetary,17.5,8,4.1,12.56,0.0,0.0
3295,monetize,45.0,8,2.81,13.11,0.0,0.0
3296,money,5.0,5,5.64,5.11,631.0,574.0
3297,monitor,25.0,7,4.37,9.68,0.0,0.0
3298,monitored,20.0,9,3.75,,0.0,0.0
3299,monitoring,23.75,10,4.34,,0.0,0.0
3300,monitors,10.0,8,3.82,,0.0,0.0
3301,monsoon,20.0,7,3.33,11.28,336.0,508.0
3302,monster,10.0,7,4.49,4.58,0.0,0.0
3303,month,5.0,5,5.25,5.79,598.0,345.0
3305,monument,30.0,8,3.9,8.45,455.0,558.0
3306,monumental,35.0,10,3.5,10.59,0.0,0.0
3307,monuments,20.0,9,3.69,,0.0,0.0
3308,mood,10.0,4,4.44,6.58,541.0,234.0
3309,morbidity,55.0,9,2.95,14.17,0.0,0.0
3310,moreover,5.0,8,4.16,,0.0,0.0
3311,morgue,40.0,6,3.08,10.53,434.0,572.0
3312,morning,0.0,7,5.33,4.0,605.0,515.0
3313,morph,50.0,5,3.07,11.47,,
3314,mortal,25.0,6,3.86,9.84,454.0,406.0
3315,mortality,40.0,9,3.9,12.35,0.0,0.0
3316,mortar,20.0,6,3.75,11.9,368.0,548.0
3317,mortars,20.0,7,3.14,,0.0,0.0
3318,mortgage,65.0,8,4.39,12.53,506.0,422.0
3319,mortgages,62.5,9,3.69,,0.0,0.0
3321,mosque,0.0,6,3.89,14.12,316.0,478.0
3322,moss,20.0,4,3.89,,436.0,575.0
3323,mosses,60.0,6,2.66,,0.0,0.0
3324,mot,0.0,3,3.1,10.62,0.0,0.0
3325,moths,40.0,5,3.21,,0.0,0.0
3326,motion,20.0,6,4.59,6.78,541.0,367.0
3327,motivation,40.0,10,4.22,10.6,0.0,0.0
3328,motive,55.0,6,3.94,11.06,540.0,255.0
3329,motor,0.0,5,4.53,7.42,545.0,565.0
3330,motorcyclist,6.666666666666667,12,2.74,7.17,,
3331,motorist,15.0,8,3.07,7.74,0.0,0.0
3332,motorists,10.0,9,3.29,,0.0,0.0
3334,motorway,8.333333333333334,8,3.46,7.95,0.0,0.0
3335,mount,5.0,5,4.47,8.53,0.0,0.0
3336,mountain,0.0,8,4.73,6.15,574.0,616.0
3337,mountainous,20.0,11,3.38,10.56,0.0,0.0
3338,mountains,0.0,9,4.5,,0.0,0.0
3339,mounted,20.0,7,4.26,,0.0,0.0
3340,mounts,10.0,6,3.52,,0.0,0.0
3341,mourning,52.0,8,3.69,11.05,0.0,0.0
3342,mouth,10.0,5,4.83,3.58,572.0,568.0
3343,moved,6.666666666666667,5,5.01,,0.0,0.0
3344,movement,8.0,8,4.97,6.58,0.0,0.0
3345,movements,0.0,9,4.35,,0.0,0.0
3346,movie,0.0,5,5.16,3.56,523.0,590.0
3347,moving,0.0,6,5.02,,0.0,0.0
3349,mp,0.0,2,4.29,,0.0,0.0
3357,mull,33.333333333333336,4,2.94,12.24,0.0,0.0
3360,multiple,12.0,8,4.92,7.79,0.0,0.0
3361,munching,50.0,8,2.88,,0.0,0.0
3363,municipal,6.666666666666667,9,4.24,14.06,0.0,0.0
3364,murder,13.333333333333334,6,4.86,8.79,528.0,445.0
3365,murdered,0.0,8,4.32,,0.0,0.0
3366,murdering,15.0,9,3.72,,0.0,0.0
3367,murderous,20.0,9,3.37,9.89,0.0,0.0
3368,murders,10.0,7,4.05,,0.0,0.0
3369,muscle,15.0,6,4.44,8.45,540.0,573.0
3370,muscles,20.0,7,4.14,,0.0,0.0
3372,museum,15.0,6,4.71,8.55,0.0,0.0
3373,music,10.0,5,5.52,3.81,599.0,512.0
3374,musical,10.0,7,4.51,7.28,538.0,0.0
3375,muskeg,30.0,6,1.75,,,
3378,must,0.0,4,5.68,4.58,589.0,297.0
3379,muted,53.333333333333336,5,3.42,9.28,0.0,0.0
3380,mutinied,100.0,8,2.06,,0.0,0.0
3383,myriad,26.666666666666668,6,3.49,11.94,0.0,0.0
3384,mythological,26.666666666666668,12,3.06,10.72,0.0,0.0
3385,mythologies,30.0,11,2.49,,0.0,0.0
3388,nailed,20.0,6,3.77,,0.0,0.0
3389,nails,20.0,5,4.04,,0.0,0.0
3390,naked,3.3333333333333335,5,4.43,4.68,0.0,0.0
3391,name,0.0,4,5.61,3.68,573.0,405.0
3392,named,6.666666666666667,5,4.95,,0.0,0.0
3394,narrating,90.0,9,2.92,,0.0,0.0
3395,narrative,45.0,9,4.39,11.44,0.0,0.0
3396,narratives,60.0,10,3.61,,0.0,0.0
3397,narrow,10.0,6,4.39,7.57,546.0,372.0
3400,nation,20.0,6,4.88,7.74,508.0,415.0
3403,national,4.545454545454546,8,5.51,6.89,556.0,0.0
3408,nationalist,10.0,11,3.91,13.47,0.0,0.0
3409,nationalized,15.0,12,2.76,,0.0,0.0
3410,nationally,0.0,10,3.84,,0.0,0.0
3411,nationals,5.0,9,3.91,,0.0,0.0
3412,nations,3.3333333333333335,7,4.8,,0.0,0.0
3413,nationwide,20.0,10,4.07,9.0,0.0,0.0
3416,natural,6.0,7,5.11,8.5,594.0,0.0
3417,nature,6.0,6,4.98,6.16,535.0,414.0
3418,nautical,22.5,8,3.49,11.39,0.0,0.0
3419,naval,10.0,5,4.24,9.7,476.0,519.0
3420,nave,15.0,4,3.06,12.54,203.0,402.0
3421,navy,6.666666666666667,4,4.57,7.15,465.0,472.0
3426,nearby,12.5,6,4.55,,0.0,0.0
3427,nearly,10.0,6,5.0,,611.0,0.0
3428,necessarily,20.0,11,4.48,,0.0,0.0
3429,necessary,5.0,9,4.91,7.55,0.0,0.0
3430,need,10.0,4,5.97,3.56,589.0,314.0
3431,needs,15.0,5,5.37,,0.0,0.0
3432,negative,5.0,8,4.79,7.47,0.0,0.0
3433,negotiating,50.0,11,3.78,,0.0,0.0
3434,negotiations,65.0,12,4.21,,0.0,0.0
3436,neighbor,13.91304347826087,8,4.11,5.06,,
3437,neighborhood,8.571428571428571,12,4.5,6.47,,
3438,neighboring,8.333333333333334,11,3.87,10.9,,
3439,neighbors,10.0,9,4.24,,,
3446,nerve,30.0,5,4.19,9.67,554.0,488.0
3447,nest,10.0,4,4.07,5.11,521.0,557.0
3449,nests,25.0,5,3.43,,0.0,0.0
3451,netted,100.0,6,3.08,,0.0,0.0
3452,network,5.0,7,5.02,10.94,0.0,0.0
3453,neurons,20.0,7,3.71,,,
3455,new,4.705882352941177,3,6.25,4.72,614.0,348.0
3456,newcomer,5.0,8,3.4,8.26,0.0,0.0
3458,newly,10.0,5,4.42,,0.0,0.0
3461,news,4.444444444444445,4,5.44,6.16,560.0,437.0
3462,newspaper,0.0,9,4.6,5.78,641.0,576.0
3463,next,3.3333333333333335,4,5.7,,548.0,262.0
3467,nick,10.0,4,4.59,,0.0,0.0
3470,nickname,50.0,8,3.91,6.5,0.0,0.0
3471,nicknamed,60.0,9,3.44,,0.0,0.0
3475,night,25.0,5,5.61,3.61,636.0,496.0
3476,nightshades,90.0,11,1.5,,,
3480,nitrogen,3.3333333333333335,8,3.76,10.72,0.0,0.0
3482,nobility,100.0,8,3.47,11.39,0.0,0.0
3483,noble,10.0,5,4.24,10.67,410.0,0.0
3484,nomenclature,10.0,12,3.21,14.25,0.0,0.0
3485,nominal,16.666666666666668,7,3.6,11.21,0.0,0.0
3486,nominated,60.0,9,4.18,,0.0,0.0
3487,nomination,15.555555555555555,10,4.07,11.72,0.0,0.0
3488,nominations,50.0,11,3.82,,0.0,0.0
3489,nominee,16.666666666666668,7,3.96,11.0,0.0,0.0
3499,nonetheless,45.0,11,4.04,,,
3500,nonfatal,40.0,8,1.95,11.16,,
3503,normal,17.5,6,5.01,5.53,602.0,237.0
3504,normally,5.0,8,4.57,,0.0,0.0
3505,north,0.0,5,5.34,6.55,0.0,0.0
3507,northern,0.0,8,4.85,7.95,0.0,0.0
3508,nose,10.0,4,4.51,2.95,584.0,628.0
3509,notable,30.0,7,4.07,10.37,0.0,0.0
3510,notables,50.0,8,2.64,,0.0,0.0
3511,notably,0.0,7,4.01,,0.0,0.0
3512,note,20.0,4,5.04,6.4,594.0,525.0
3513,noted,10.0,5,4.69,,0.0,0.0
3514,notice,5.0,6,4.9,7.35,634.0,479.0
3515,notified,36.666666666666664,8,3.83,,0.0,0.0
3516,noting,0.0,6,4.0,,0.0,0.0
3518,novel,10.0,5,4.63,9.5,530.0,529.0
3521,nude,20.0,4,4.0,8.21,556.0,0.0
3523,number,20.0,6,5.62,3.94,599.0,395.0
3524,numbering,10.0,9,3.27,,0.0,0.0
3525,numbers,10.0,7,4.98,,0.0,0.0
3526,numeral,12.5,7,2.77,8.32,0.0,0.0
3527,numerous,15.263157894736842,8,4.65,8.83,0.0,0.0
3528,nuncio,0.0,6,2.3,,0.0,0.0
3529,nuns,50.0,4,3.49,,0.0,0.0
3530,nutrient,15.0,8,3.51,10.53,399.0,432.0
3531,nutrients,10.0,9,3.71,,,
3534,oases,33.333333333333336,5,2.36,,0.0,0.0
3535,oasis,10.0,5,3.56,9.11,341.0,0.0
3539,object,5.0,6,4.56,7.94,586.0,487.0
3540,objective,20.0,9,4.36,12.72,0.0,0.0
3541,objects,5.0,7,4.51,,0.0,0.0
3543,obligation,20.0,10,4.07,10.95,0.0,0.0
3544,obliged,85.0,7,3.77,,0.0,0.0
3546,obscene,36.666666666666664,7,3.46,11.83,0.0,0.0
3548,observatory,28.14814814814815,11,3.71,9.12,0.0,0.0
3549,observed,10.0,8,4.39,,0.0,0.0
3550,observer,20.0,8,3.91,9.7,469.0,505.0
3551,observers,10.37037037037037,9,3.77,,0.0,0.0
3552,observing,0.0,9,3.75,,0.0,0.0
3553,obtain,0.0,6,4.4,9.32,0.0,0.0
3554,obtained,13.333333333333334,8,4.49,,0.0,0.0
3555,occasional,10.0,10,4.12,9.05,503.0,315.0
3556,occasionally,35.0,12,4.39,,0.0,0.0
3557,occasions,20.0,9,4.26,,0.0,0.0
3558,occupied,20.0,8,4.32,,0.0,0.0
3559,occupy,0.0,6,3.93,8.89,0.0,0.0
3560,occur,10.0,5,4.47,9.74,0.0,0.0
3561,occurred,15.555555555555555,8,4.57,,0.0,0.0
3562,occurs,0.0,6,4.34,,0.0,0.0
3564,odd,25.0,3,4.42,6.0,0.0,0.0
3565,oddest,20.0,6,2.6,,0.0,0.0
3567,offender,26.0,8,3.7,10.85,0.0,0.0
3568,offensive,27.272727272727273,9,4.46,9.37,521.0,0.0
3569,offered,10.0,7,4.86,,0.0,0.0
3570,office,0.0,6,5.4,6.68,566.0,569.0
3571,officer,4.0,7,5.03,6.5,549.0,550.0
3572,officers,3.3333333333333335,8,4.87,,0.0,0.0
3573,official,10.0,8,5.14,8.68,0.0,0.0
3574,officially,8.333333333333334,10,4.53,,0.0,0.0
3575,officials,1.4285714285714286,9,4.68,,0.0,0.0
3576,offload,40.0,7,2.76,11.87,,
3577,offshoot,50.0,8,2.98,13.0,329.0,365.0
3579,oil,2.5,3,5.1,7.33,548.0,581.0
3581,old,0.0,3,5.75,3.72,616.0,349.0
3586,one,4.0,3,6.47,,613.0,379.0
3588,ongoing,30.0,7,4.32,8.39,0.0,0.0
3589,online,6.0,6,5.19,,,
3591,op,0.0,2,4.42,12.43,,
3592,open,14.0,4,5.48,5.0,581.0,381.0
3594,opening,0.0,7,4.94,6.28,542.0,455.0
3595,opera,20.0,5,4.27,,0.0,0.0
3596,operated,15.0,8,4.35,,0.0,0.0
3597,operating,3.3333333333333335,9,4.75,,0.0,0.0
3598,operation,7.857142857142857,9,4.92,7.84,0.0,0.0
3599,operations,4.0,10,4.87,,0.0,0.0
3600,operative,10.0,9,3.86,9.67,0.0,0.0
3601,opinion,3.3333333333333335,7,4.94,8.42,550.0,285.0
3602,opinion’s,0.0,9,1.61,,,
3603,opponent,0.0,8,4.2,8.63,495.0,440.0
3604,opponents,20.0,9,4.23,,0.0,0.0
3605,opportunities,10.0,13,4.61,,0.0,0.0
3606,opportunity,5.0,11,4.95,9.72,567.0,306.0
3607,oppose,10.0,6,3.94,11.05,0.0,0.0
3608,opposed,4.0,7,4.51,,0.0,0.0
3609,opposes,10.0,7,3.36,,0.0,0.0
3610,opposite,0.0,8,4.62,5.06,0.0,0.0
3611,opposition,3.090909090909091,10,4.57,11.58,483.0,316.0
3612,optical,15.0,7,4.07,10.72,0.0,0.0
3613,optimism,55.0,8,3.66,12.17,500.0,240.0
